profile,horizon_days,fold,training_rows,validation_rows,features,best_iteration,rmsle,log_r2,wape_pct,total_view_capture_pct,median_absolute_error_views
enhanced_v5,30,4,22893,5723,91,178,1.6569254360944639,0.5733964761443622,91.87976060674103,29.433196498926584,1463.8224327444736
enhanced_v5,30,5,22893,5723,91,297,1.826209947790623,0.46594790425107735,87.90160577516501,26.826275049442433,633.2075908723915
enhanced_pruned_v5,7,1,22892,5724,87,150,1.7840774271895252,0.2755778035023416,90.5902335092994,23.951958626405304,697.7645745649265
enhanced_pruned_v5,7,2,22893,5723,87,130,1.7385167744281453,0.4890888367320736,87.28100469773761,26.180325569374467,1272.3073138322616
enhanced_pruned_v5,7,3,22893,5723,87,93,1.7358061838064647,0.6038932138609627,86.95586008662592,19.252102031584137,951.6356745352523
enhanced_pruned_v5,7,4,22893,5723,87,135,1.681671644197739,0.5795353403539044,89.39570765626628,28.18997336500787,1350.6807921875816
enhanced_pruned_v5,7,5,22893,5723,87,103,1.8442034480770315,0.470719612030964,86.5511982694879,26.995216855553227,553.734746496244
enhanced_pruned_v5,14,1,22892,5724,87,129,1.765116377811846,0.28768157348782664,90.45035241480745,24.691854678723725,751.5644492300797
enhanced_pruned_v5,14,2,22893,5723,87,135,1.7360214393021218,0.486708262491119,87.39099443573484,27.226883000242445,1362.0745165284939
enhanced_pruned_v5,14,3,22893,5723,87,162,1.728911697857644,0.6003366299195212,86.99598889259691,20.105794712768223,895.8007348094857
enhanced_pruned_v5,14,4,22893,5723,87,107,1.6669340923842781,0.5778910041582216,88.69080715567037,28.924602958441653,1329.1298203900046
enhanced_pruned_v5,14,5,22893,5723,87,228,1.8165661997670675,0.47860752532223805,86.79531396471451,26.610970662460993,587.182563570212
enhanced_pruned_v5,21,1,22892,5724,87,136,1.7832563333834515,0.2715007018556169,90.26450531899155,25.755340694406804,740.7562436767062
enhanced_pruned_v5,21,2,22893,5723,87,139,1.7337629723774932,0.4847833045887677,87.82951209823598,23.516869098604865,1325.5267045593068
enhanced_pruned_v5,21,3,22893,5723,87,167,1.7461047398592402,0.5882101570642091,87.53287856962822,18.84621895723903,949.0101972305692
enhanced_pruned_v5,21,4,22893,5723,87,102,1.6737089048490303,0.56974377509945,89.2629923660913,27.069705105139626,1402.7400065145562
enhanced_pruned_v5,21,5,22893,5723,87,143,1.8271317468473032,0.46718868434525107,86.68916853046557,26.891929432016497,626.2818464236315
enhanced_pruned_v5,30,1,22892,5724,87,125,1.7919866221312915,0.2619395300906415,91.2015743484066,25.731874138191063,718.5750440400147
enhanced_pruned_v5,30,2,22893,5723,87,183,1.7325261985303853,0.4816754592782637,88.05621422721583,25.62754694485517,1444.5888210348244
enhanced_pruned_v5,30,3,22893,5723,87,126,1.7262616090333365,0.5931835294094095,87.6890668448736,19.75139294013694,1018.037819985054
enhanced_pruned_v5,30,4,22893,5723,87,199,1.665612686708881,0.5689113895581399,90.30966297079567,29.403465840899447,1549.771114050291
enhanced_pruned_v5,30,5,22893,5723,87,233,1.8218679671090354,0.46848440040160266,87.57979065706314,27.485179723429926,623.2348328352869
