category_name,duration_seconds,is_short,default_language,publish_hour_slt,publish_dow_slt,publish_is_weekend,tag_count,ch_subs_at_publish,ch_videos_at_publish,channel_age_days_at_publish,d30_views,publish_time_bucket,subscriber_tier,ch_avg_views_per_video_at_publish,topic_entertainment,topic_fashion,topic_food,topic_gaming,topic_health,topic_hobby,topic_humour,topic_knowledge,topic_lifestyle,topic_music,topic_pet,topic_politics,topic_religion,topic_society,topic_sports,topic_technology,topic_tourism,topic_vehicle,topic_missing
Howto & Style,24.0,True,en,14,0,False,0,1120.0,2774.0,2248.208812037963,178.0,morning_afternoon,1k_to_10k,,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Sports,77.0,False,en,17,5,True,28,25800.0,570.0,2420.74654078154,131.0,evening,10k_to_100k,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
Autos & Vehicles,58.0,True,si,22,6,True,0,6450.0,230.0,1003.8837422006366,123.0,late_night,1k_to_10k,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
News & Politics,306.0,False,si,14,5,True,31,615000.0,26594.0,3285.0239814814813,568.0,morning_afternoon,500k_to_1m,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Education,625.0,False,si,17,2,False,11,1440000.0,1002.0,2477.1071180555555,36512.0,evening,1m_plus,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Education,60.0,True,si,16,6,True,0,13300.0,527.0,2320.343986745243,65.0,evening,10k_to_100k,,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
Entertainment,55.0,True,en,8,4,False,29,1560000.0,47279.0,4357.971956018519,518.0,morning_afternoon,1m_plus,,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
News & Politics,93.0,False,si,15,6,True,19,3760000.0,163923.0,3826.9260416666666,16454.0,evening,1m_plus,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Entertainment,41.0,True,en,16,4,False,30,3240000.0,37455.0,3052.1852777777776,5201.0,evening,1m_plus,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
News & Politics,91.0,False,si,12,2,False,33,535000.0,28770.0,3380.8421064814816,3936.0,morning_afternoon,500k_to_1m,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Film & Animation,37.0,True,si,23,4,False,0,54200.0,248.0,2326.725377983993,527.0,late_night,10k_to_100k,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Education,9.0,True,en,7,0,False,40,65000.0,920.0,1299.407461683727,3507.0,morning_afternoon,10k_to_100k,,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Travel & Events,57.0,True,si,19,1,False,0,2710.0,392.0,4342.378784722222,906.0,evening,1k_to_10k,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
News & Politics,109.0,False,si,22,3,False,17,287000.0,10213.0,1229.6393907685997,43.0,late_night,250k_to_500k,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Music,735.0,False,en,7,4,False,0,208000.0,17.0,1652.3983220126852,17049.0,morning_afternoon,100k_to_250k,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Education,40.0,True,ta,21,5,True,6,15500.0,1722.0,5033.26855324074,35870.0,late_night,10k_to_100k,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Education,740.0,False,en,19,0,False,0,9920.0,1217.0,4015.375393518519,32.0,evening,1k_to_10k,,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
Entertainment,51.0,True,si,10,2,False,28,5290000.0,57691.0,4067.914583333333,5385.0,morning_afternoon,1m_plus,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Education,3931.0,False,si,22,3,False,27,11400.0,512.0,1241.304509515486,507.0,late_night,10k_to_100k,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Education,333.0,False,en,17,1,False,0,40700.0,760.0,3157.4703587962963,568.0,evening,10k_to_100k,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Film & Animation,105.0,False,si,18,4,False,0,16800.0,65.0,852.2310447973958,125.0,evening,10k_to_100k,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Education,427.0,False,en-US,11,0,False,10,5610.0,375.0,2330.064291004595,314.0,morning_afternoon,1k_to_10k,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
News & Politics,406.0,False,si,1,3,False,44,14000.0,739.0,2981.973645833333,364.0,early_morning,10k_to_100k,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Education,1984.0,False,en,19,2,False,0,9920.0,1217.0,4017.3755324074073,20.0,evening,1k_to_10k,,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
News & Politics,48.0,True,si,21,4,False,13,287000.0,10213.0,1237.5972148426736,48.0,late_night,250k_to_500k,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Education,94.0,False,en-GB,12,5,True,0,65100.0,460.0,3813.670520833333,176.0,morning_afternoon,10k_to_100k,,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
Entertainment,1127.0,False,si,19,1,False,11,1650000.0,25673.0,3211.3425578703705,87462.0,evening,1m_plus,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Film & Animation,20.0,True,en,7,3,False,0,35200.0,99.0,3344.436469907408,1113.0,morning_afternoon,10k_to_100k,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Entertainment,64.0,False,si,19,3,False,28,1130000.0,11595.0,3475.374664351852,840.0,evening,1m_plus,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
