channel_id,title,category,query,country,subscriber_count,roster_entry,promoted
UCEWKJTdB9-3gWXbfO8M5y9w,ratacar(🚗 කාර්),Autos & Vehicles,Sri Lanka car review,LK,824,ratacar,True
UCzV0iI36_Vf9MxrY1QMqAbg,Ikman Riya Pola,Autos & Vehicles,Sri Lanka car review,,1310,ikmanriyapolasale,False
UCDg7qb6l89bIiCiT1kqNclQ,Lovely Mind,Autos & Vehicles,Sri Lanka car review,US,13,carreviews2045,False
UCHeA4zH9RFK46MX1DYPKsgg,CarTalk Sri Lanka,Autos & Vehicles,Sri Lanka car review,,462,cartalksrilanka8716,False
UCJEnfxBpv0TwLx_mAf9NXHg,TATA Motors Sri Lanka,Autos & Vehicles,Sri Lanka car review,LK,2710,tatamotors_srilanka,True
UCxAMLBhgoIfWscHphqMa_3g,BAIC Sri Lanka,Autos & Vehicles,Sri Lanka car review,,501,baicsrilanka,False
UCIc0IfSuaRz7wj3V7kB5yHQ,Auto review,Autos & Vehicles,Sri Lanka car review,,1400,slautoreviewofficial,False
UC4WB6bXsDM994fNK1KUu-Xg,SL Motor Hub,Autos & Vehicles,Sri Lanka car review,US,67,slmotorhub1647,False
UCqQG6LzmohNCLtSWReoujWw,The Wickramasinghe Auto Channel,Autos & Vehicles,Sri Lanka car review,,6,thewickramasingheautochannel,False
UC9_p0Y6BO6m6YNwFLJ9hGAw,SRI LANKA DAILY DRIVEN,Autos & Vehicles,Sri Lanka car review,AT,672,srilankadailydriven8528,False
UCUBN8f1H_gd7aulxB-Ik4tA,POV Drive Sri Lanka,Autos & Vehicles,Sri Lanka car review,LK,37700,povsrilanka,True
UC-dHEjWS4CibzGtijQC6cOg,Auto Lanka,Autos & Vehicles,Sri Lanka car review,LK,59,auto_lanka,True
UCko-rtA7XExCrvdlPTVpBuA,Mr Carbook,Autos & Vehicles,Sri Lanka car review,LK,61,mr_carbook,True
UC_N0zAbvilWx9u6geW9Y5fw,BYD Sri Lanka,Autos & Vehicles,Sri Lanka car review,,3010,bydsrilanka,False
UCVWqZXv-sjeFu5jKbQ1cA-Q,HBS Rent A Car Sri Lanka,Autos & Vehicles,Sri Lanka car review,LK,1180,hbsrentacarsl,True
UCOQVLE9o9TuTRF8pOWDlb4Q,Auto Review,Autos & Vehicles,Sri Lanka car review,,1270,autoreview2899,False
UCb6R8MuG0wslZT75Zr5_V3A,Vehicle Talk LK ,Autos & Vehicles,Sri Lanka car review,,18,vehicle_talk_lk,False
UCGnnbsbqbCc7KxSIAbC_d2A,Auto Vision,Autos & Vehicles,Sri Lanka car review,LK,32200,sirasatvautovision,True
UCQsNlLN15ybNA4kdtwe-OBA,MotorGuide Sri Lanka,Autos & Vehicles,Sri Lanka car review,LK,25800,motorguidesl,True
UClOa9_wBfIF67JdDjHVLsiw,Vehicle Focus,Autos & Vehicles,Sri Lanka car review,,529,vehiclefocus,False
UCT_mEOG3Y-gemGUMglejpug,Srilankan Car-Culture,Autos & Vehicles,Sri Lanka car review,LK,4230,srilankancarculture,True
