channel_id,title,category,country,subscriber_count,tier_hint
UC6YskSjbx6ejLZxlw0ou7ug,LiveFM Sri Lanka,Music,LK,11100,mid
UCNhBV-PefAMUk-OCW-z6JdA,Rock Sri Lanka,Music,LK,61900,mid
UCJHZRFwvhHvQVF_40RB2mfw,Sinhala AI Music Pro,Music,AU,36400,mid
UCtj1d1Z350r6N0-5wqu88sg,WIFI MUSIC BAND,Music,LK,27400,mid
UC3S32URqLCYK2_AW5lbiiMw,PointFive Sri Lanka,Music,LK,72100,mid
UCOGqY1GxiXCSP8F9pSqMHFQ,Misty Sri Lanka,Music,LK,10600,mid
UCUuFKRtJqnTVb0aFfvpvBFA,Taxi Entertainment,Music,LK,41800,mid
UCU48OVhchUMpccwqm0GcnYw,Milton Mallawarachchi - Topic,Music,,24200,mid
UCoDhDkCDlbpzvrEF-oUfhjQ,Harsha Music,Music,NZ,85400,mid
UC6fEFMQGgfidu6ygyympIVg,Wanted Band Sri Lanka,Music,LK,37100,mid
UCWV7TQNUqSAg9o9VMMoScUg,3D MUSIC IN SRI LANKA,Music,GB,11200,mid
UCGlQBbvBkJ1IKWUeGMpbebA,Sunil Perera - Topic,Music,,3770,small
UCi-0a9mB6fyklrcBRXa_oWA,BeeZ,Music,,7890,small
UC6N3Hr8W82F7JrbplVMHogw,Yamaha Music Centre LK,Music,LK,9790,small
UC4qtIvy_0qYLvRH1yDtZlVA,2FORTY2 - Topic,Music,,2790,small
UC-Xj0qPgOHLTuY6WBHTQZjg,Sri Lanka News,News & Politics,,56,below_threshold
UCdX5yZEIb4vhkIWSpheXT8g,Sri Lanka News Hub,News & Politics,,1610,below_threshold
UCafYOro0A5GJOp-KrVRDvcQ,Sri Lanka News,News & Politics,LK,113,below_threshold
UCIGJVuPqeAFIuKne4G8Wv2g,Sky News Sri Lanka,News & Politics,,16,below_threshold
UCEmpXzM-MOJMHaT5UsVfaEg,Sri Lanka News,News & Politics,LK,16,below_threshold
UCF11-Puqxb0jdeWNc7F_Fcw,Lanka Hit News,News & Politics,LK,1240,below_threshold
UC77Hynm5dzYFLYqB8kXrW8Q,Sri Lanka - News,News & Politics,,9,below_threshold
UCTPVqR0i3JamDM5i27Z8LIA,Dubai Lanka News,News & Politics,AE,1800,below_threshold
