horizon,feature,kind,value,count,percent,rank
day_30,category_name,categorical,Travel & Events,1024,6.940961160441944,5
day_30,category_name,categorical,Gaming,853,5.781874872907205,6
day_30,category_name,categorical,People & Blogs,814,5.517521859960686,7
day_30,category_name,categorical,Howto & Style,539,3.6534942045685623,8
day_30,category_name,categorical,Comedy,398,2.6977563885311464,9
day_30,category_name,categorical,Autos & Vehicles,393,2.6638649766149256,10
day_30,category_name,categorical,Film & Animation,391,2.6503084118484375,11
day_30,category_name,categorical,Science & Technology,347,2.352063986985698,12
day_30,category_name,categorical,Sports,288,1.9521453263742967,13
day_30,category_name,categorical,Pets & Animals,284,1.9250321968413204,14
day_30,category_name,categorical,<MISSING>,104,0.7049413678573849,15
day_30,is_short,boolean,False,8973,60.821527824849184,1
day_30,is_short,boolean,True,5780,39.178472175150816,2
day_30,definition,categorical,hd,14419,97.73605368399647,1
day_30,definition,categorical,sd,334,2.263946316003525,2
day_30,caption,boolean,False,14727,99.82376465803566,1
day_30,caption,boolean,True,26,0.17623534196434623,2
day_30,made_for_kids,boolean,False,14713,99.72886870467023,1
day_30,made_for_kids,boolean,True,40,0.27113129532976343,2
day_30,default_language,categorical,si,9028,61.19433335592761,1
day_30,default_language,categorical,en,4238,28.726360740188436,2
day_30,default_language,categorical,en-US,596,4.039856300413475,3
day_30,default_language,categorical,ta,420,2.846878600962516,4
day_30,default_language,categorical,en-GB,385,2.609638717548973,5
day_30,default_language,categorical,ja,18,0.12200908289839354,6
day_30,default_language,categorical,en-AU,14,0.0948959533654172,7
day_30,default_language,categorical,ru,7,0.0474479766827086,8
day_30,default_language,categorical,hi,6,0.040669694299464515,9
day_30,default_language,categorical,ab,5,0.03389141191622043,10
day_30,default_language,categorical,ar,5,0.03389141191622043,11
day_30,default_language,categorical,en-IN,4,0.027113129532976343,12
day_30,default_language,categorical,th,4,0.027113129532976343,13
day_30,default_language,categorical,bn,4,0.027113129532976343,14
day_30,default_language,categorical,ko,3,0.020334847149732257,15
day_30,default_language,categorical,de-DE,2,0.013556564766488172,16
day_30,default_language,categorical,id,2,0.013556564766488172,17
day_30,default_language,categorical,tr,2,0.013556564766488172,18
day_30,default_language,categorical,zh-Hant,2,0.013556564766488172,19
day_30,default_language,categorical,ro,2,0.013556564766488172,20
day_30,default_language,categorical,hr,1,0.006778282383244086,21
day_30,default_language,categorical,eu,1,0.006778282383244086,22
day_30,default_language,categorical,fr,1,0.006778282383244086,23
day_30,default_language,categorical,vi,1,0.006778282383244086,24
day_30,default_language,categorical,ml,1,0.006778282383244086,25
day_30,default_language,categorical,fil,1,0.006778282383244086,26
day_30,publish_hour_slt,numeric_discrete,18,1173,7.950925235545313,1
day_30,publish_hour_slt,numeric_discrete,19,1138,7.71368535213177,2
day_30,publish_hour_slt,numeric_discrete,20,991,6.717277841794889,3
day_30,publish_hour_slt,numeric_discrete,17,906,6.141123839219142,4
day_30,publish_hour_slt,numeric_discrete,16,809,5.483630448044465,5
day_30,publish_hour_slt,numeric_discrete,10,764,5.178607740798482,6
day_30,publish_hour_slt,numeric_discrete,11,755,5.1176031993492845,7
day_30,publish_hour_slt,numeric_discrete,21,754,5.110824916966041,8
day_30,publish_hour_slt,numeric_discrete,15,749,5.07693350504982,9
day_30,publish_hour_slt,numeric_discrete,12,719,4.873585033552498,10
day_30,publish_hour_slt,numeric_discrete,14,709,4.805802209720057,11
day_30,publish_hour_slt,numeric_discrete,8,701,4.751575950654105,12
day_30,publish_hour_slt,numeric_discrete,7,687,4.656679997288687,13
day_30,publish_hour_slt,numeric_discrete,9,664,4.500779502474073,14
day_30,publish_hour_slt,numeric_discrete,13,619,4.195756795228089,15
day_30,publish_hour_slt,numeric_discrete,22,611,4.141530536162136,16
day_30,publish_hour_slt,numeric_discrete,6,450,3.0502270724598386,17
day_30,publish_hour_slt,numeric_discrete,23,408,2.765539212363587,18
day_30,publish_hour_slt,numeric_discrete,0,377,2.5554124584830205,19
day_30,publish_hour_slt,numeric_discrete,1,235,1.5928963600623602,20
day_30,publish_hour_slt,numeric_discrete,5,194,1.3149867823493526,21
day_30,publish_hour_slt,numeric_discrete,2,164,1.11163831085203,22
day_30,publish_hour_slt,numeric_discrete,4,90,0.6100454144919677,23
day_30,publish_hour_slt,numeric_discrete,3,86,0.5829322849589914,24
day_30,publish_dow_slt,numeric_discrete,4,3145,21.31769809530265,1
day_30,publish_dow_slt,numeric_discrete,5,2907,19.704466888090558,2
day_30,publish_dow_slt,numeric_discrete,6,2015,13.658239002236833,3
